city,state,num,lat,lon
West Palm Beach,FL,22,26.75,-80.13
Gahanna,OH,20,40.02,-82.88
Petersburg,MI,18,41.89,-83.62
Battle Ground,WA,15,45.77,-122.54
Toledo,OH,10,41.66,-83.58
Springfield,MO,9,37.19,-93.29
Columbus,OH,8,39.99,-83.02
Reynoldsburg,OH,7,39.96,-82.79
Corpus Christi,TX,2,27.74,-97.29
Anchorage,AK,1,61.15,-149.19
